Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,2.2601221967255884,-5.962796257434683,0.5817469323354203,-5.000883770889573,2.626818482469374 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,2.085014537968128,-8.430668926464087,-0.034118682657776847,-7.088623129242251,2.5405184008061334 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,1.888954496488592,-10.906890329457302,-0.652281075451981,-9.182950440507398,2.421399983669407 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,1.6773225015508369,-13.389623158346526,-1.2844312171005186,-11.28546553214403,2.2787874390116946 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,1.6201242071351907,-13.191156775451294,-1.3465834823784917,-11.136560579647153,2.1497666811988269 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,1.5483560109468349,-13.013876528011624,-1.3700364489678805,-10.989061141494858,2.0522292202781506 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,1.4935310568494847,-12.83540309206258,-1.3884706321853174,-10.84118405677043,1.981758763678434 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,1.4500713659332616,-12.65699136390387,-1.3942962991139326,-10.69064637202672,1.9277537202418727 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.4083242325361117,-12.53233756435804,-1.392275820306395,-10.560541444889623,1.88121738835294 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.37002925099525,-12.40911088452684,-1.391055010095954,-10.422185085897354,1.83743483521632 
 01/01  02:45:00,-11.25,0.0,0.0,0.0,0.0,0.0,0.0,1.3327643298811809,-12.287483557935524,-1.3883522311192565,-10.283050541767239,1.7948559696587264 
 01/01  03:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,1.2960490023212073,-12.167516060286062,-1.3850051461031968,-10.14412397792239,1.7531773820186388 
 01/01  03:15:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,1.2557454138514839,-12.137039185011073,-1.4290723374068649,-10.160264971158199,1.7115435939639059 
 01/01  03:30:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,1.2158462005587719,-12.10774260694084,-1.4678053433245282,-10.183471653517984,1.669616425164863 
 01/01  03:45:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,1.175806768570426,-12.080075271740482,-1.505819645225074,-10.206638890521277,1.6274715337202073 
 01/01  04:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,1.1357063522601974,-12.05390347213001,-1.543642163117795,-10.229125470155737,1.5852727124040807 
 01/01  04:15:00,-10.975,0.0,0.0,0.0,0.0,0.0,0.0,1.1012980522061847,-11.931690060642547,-1.546678357257747,-10.140729844594944,1.544122790669886 
 01/01  04:30:00,-10.85,0.0,0.0,0.0,0.0,0.0,0.0,1.067075974315586,-11.809570374280522,-1.5515184159410183,-10.044523742212732,1.5044914266817336 
