Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,3.4436917962216797,-5.941225169792293,1.5515276030739074,-4.8002544581401029,3.8408243794510614 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,3.2657017298289876,-8.40899826592958,0.9397112646313417,-6.887944264427972,3.7506714050680309 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,3.0678657649745268,-10.884922252802366,0.32391789693753028,-8.982233249034153,3.6279959942246555 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,2.8542111243764709,-13.367431059836085,-0.30596976820561397,-11.084485399507912,3.482316456194903 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,2.793275534441539,-13.168786085429514,-0.3703880496654506,-10.932488451635038,3.350733447278523 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,2.718118277223191,-12.991575371963624,-0.3973289491422065,-10.785892554098269,3.2508209447557068 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,2.6600050568042277,-12.813182226321772,-0.41902466408612329,-10.638917272112622,3.1778095088445554 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,2.6132065207064367,-12.634856879630755,-0.4280708926603438,-10.489284252147116,3.1209403384601774 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,2.5681247179294406,-12.509673918909702,-0.42830654392389536,-10.35686529897248,3.0712506300764219 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,2.5263963861835045,-12.385896267627603,-0.4294566606055241,-10.215820994472154,3.024126528559706 
